Filename,Frame,Technique,Method,IoU,Intersection Area,Union Area
/Users/aarjavjain/Desktop/Education/Y4/PRJ/data/WW128/WW128_125_G0,10,N2N_ZS,avg_min_intensity,0.7244719699818047,77655.24702656064,107188.75297343936
/Users/aarjavjain/Desktop/Education/Y4/PRJ/data/WW128/WW128_150_G0,10,N2N_ZS,q1,0.7268676064545078,82291.34119415897,113213.65880584103
/Users/aarjavjain/Desktop/Education/Y4/PRJ/data/WW128/WW128_150_G0,10,N2N_ZS,avg_min_intensity,0.7200223980717354,82537.35321386503,114631.64678613497
/Users/aarjavjain/Desktop/Education/Y4/PRJ/data/WW128/WW128_175_G0,10,N2N_ZS,q1,0.6453508944472153,82257.82721499103,127462.17278500895
/Users/aarjavjain/Desktop/Education/Y4/PRJ/data/WW128/WW128_175_G0,10,N2N_ZS,avg_min_intensity,0.7684223544636485,82451.84089431474,107300.15910568523
/Users/aarjavjain/Desktop/Education/Y4/PRJ/data/WW128/WW128_100_G0,10,N2N_ZS,q1,0.6644282580642702,76323.32349372715,114870.67650627284
/Users/aarjavjain/Desktop/Education/Y4/PRJ/data/WW128/WW128_100_G0,10,N2N_ZS,avg_min_intensity,0.6668176639376033,71981.77993197965,107948.22006802035
/Users/aarjavjain/Desktop/Education/Y4/PRJ/data/WW188/WW188_125_G0,10,N2N_ZS,q1,0.7820989278466601,112474.46011027062,143811.03988972938
/Users/aarjavjain/Desktop/Education/Y4/PRJ/data/WW188/WW188_125_G0,10,N2N_ZS,avg_min_intensity,0.4384828248195233,62904.975870425296,143460.5241295747
/Users/aarjavjain/Desktop/Education/Y4/PRJ/data/WW188/WW188_150_G0,10,N2N_ZS,q1,0.7498839004818052,121231.91741231648,161667.58258768352
/Users/aarjavjain/Desktop/Education/Y4/PRJ/data/WW188/WW188_150_G0,10,N2N_ZS,avg_min_intensity,0.338693284447686,48192.87808312895,142290.62191687105
/Users/aarjavjain/Desktop/Education/Y4/PRJ/data/WW188/WW188_175_G0,10,N2N_ZS,q1,0.7909734849350621,112784.50766630447,142589.49233369553
/Users/aarjavjain/Desktop/Education/Y4/PRJ/data/WW188/WW188_175_G0,10,N2N_ZS,avg_min_intensity,0.38167485489172676,53183.5206037986,139342.4793962014
/Users/aarjavjain/Desktop/Education/Y4/PRJ/data/WW188/WW188_100_G0,10,N2N_ZS,q1,0.6158192992604256,91442.24255675217,148488.75744324783
