Filename,Frame,Technique,Kernel,Method,IoU,Intersection Area,Union Area
WW141S050G0.mat,10,gaussian,5,q1,0.5667358901031226,49163.31170704253,86748.18829295746
WW141S050G0.mat,10,gaussian,5,avg_min_intensity,0.4698451341985914,44459.54467727543,94625.95532272455
WW141S050G0.mat,10,gaussian,7,q1,0.29359276698325965,30891.387022970834,105218.48797702917
WW141S050G0.mat,10,gaussian,7,avg_min_intensity,0.6693864689934462,56459.54137679965,84345.20862320035
WW141S050G0.mat,10,gaussian,9,q1,0.31835269073532035,33330.554357165835,104696.94564283418
WW141S050G0.mat,10,gaussian,9,avg_min_intensity,0.6602394540205179,64777.84546360989,98112.65453639011
WW141S050G0.mat,10,gaussian,11,q1,0.3920425974814893,38649.373173000284,98584.62682699972
WW141S050G0.mat,10,gaussian,11,avg_min_intensity,0.735531538255317,73518.12450218266,99952.37549781735
WW141S050G0.mat,10,gaussian,13,q1,0.42241142197231074,40145.430209041304,95038.69479095869
WW141S050G0.mat,10,gaussian,13,avg_min_intensity,0.7830070884940256,73740.26672132513,94175.73327867487
WW141S050G0.mat,10,gaussian,15,q1,0.3570258742509114,37462.46847203995,104929.28152796006
WW141S050G0.mat,10,gaussian,15,avg_min_intensity,0.5057996209218006,42609.84150650292,84242.53349349707
WW141S050G0.mat,10,gaussian,17,q1,0.3190514621071225,33130.10939639331,103839.39060360668
WW141S050G0.mat,10,gaussian,17,avg_min_intensity,0.49101702533736746,41360.878693064005,84235.12130693598
WW141S050G0.mat,10,gaussian,19,q1,0.3886017595504374,36036.42889917585,92733.57110082413
WW141S050G0.mat,10,gaussian,19,avg_min_intensity,0.5558986575680328,46858.05629740277,84292.44370259721
WW141S050G0.mat,10,gaussian,21,q1,0.28921839655208165,26514.29919081955,91675.70080918047
WW141S050G0.mat,10,gaussian,21,avg_min_intensity,0.6303110549238844,53134.12124963431,84298.25375036571
WW141S050G0.mat,10,gaussian,23,q1,0.41612609382018834,42074.72698595203,101110.52301404795
WW141S050G0.mat,10,gaussian,23,avg_min_intensity,0.7159464911824877,60486.27438362484,84484.35061637517
WW141S050G0.mat,10,gaussian,25,q1,0.34853155348564446,36955.33674610319,106031.5382538968
WW141S050G0.mat,10,gaussian,25,avg_min_intensity,0.6391161540861802,53896.35713428048,84329.51786571952
WW141S050G0.mat,10,gaussian,27,q1,0.2732144670567811,29959.368352981364,109655.13164701863
WW141S050G0.mat,10,gaussian,27,avg_min_intensity,0.49427936398930633,41632.27398476025,84228.22601523975
WW141S050G0.mat,10,gaussian,29,q1,0.33331287960642586,32703.463615287295,98116.4113847127
WW141S050G0.mat,10,gaussian,29,avg_min_intensity,0.605992190286075,51084.14486548073,84298.35513451928
WW141S050G0.mat,10,gaussian,31,q1,0.1939579239433954,20789.724458262175,107186.7755417378
WW141S050G0.mat,10,gaussian,31,avg_min_intensity,0.5722721384656789,48241.2978252846,84297.82717471539
WW172S125GN0.mat,10,gaussian,3,q1,0.697254932920211,71559.058595716,102629.69140428399
